interview_id,name,age,gender,role_applied,industry_skills,jd,interview_date,transcript
INT1011,Arjun Saxena,31,Other,Software Engineer,"python, java, problem-solving, data structures, algorithms","Design and implement scalable software solutions, write clean code, and collaborate on architecture decisions. Strong problem solving and data structures knowledge expected.",2025-02-21,"Arjun Saxena: Good afternoon, thank you for taking the time.
Interviewer: Thanks for joining — let's begin.
Interviewer: What are your key strengths?
Candidate: My strengths are python and java.
Interviewer: How do you work with cross-functional teams?
Arjun Saxena: In the next 5 years, I aim to grow into a leadership role.
Interviewer: How do you handle deadlines and pressure?
Arjun Saxena: I uh am detail-oriented and I communicate well with stakeholders.
Interviewer: What are your key strengths?
Arjun Saxena: I am detail-oriented and I communicate well with stakeholders.
Interviewer: Can you walk me through a challenging problem you solved?
Candidate: I I mean developed a tool using python that automated a lot of manual work.
Interviewer: Do you have any questions for us?
Arjun Saxena: I uh look forward to hearing from you. Thank you.
Interviewer: Do you have any questions for us?
Arjun Saxena: Thank you for your time. I'm excited about this opportunity.
Interviewer: How do you handle deadlines and pressure?
Candidate: I so have hands-on experience with python and java.
Interviewer: What motivates you at work?
Arjun Saxena: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: Can you walk me through a challenging problem you solved?
Candidate: I you know have hands-on experience with python and java.
Interviewer: That concludes our questions. Do you have anything to ask us?
Arjun Saxena: Yes, I would like to know more about the team I’d be working with."
INT1012,Shaurya Bhatt,42,Male,AI/ML Engineer,"machine learning, python, deep learning, model deployment, data preprocessing","Develop and deploy machine learning models, perform data preprocessing and model evaluation, and work on production ML pipelines.",2024-05-20,"Shaurya Bhatt: Good afternoon, thank you for taking the time.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: How do you approach learning a new skill?
Shaurya Bhatt: I learn by building small projects and iterating quickly.
Interviewer: What is a weakness you are working on?
Shaurya Bhatt: Sometimes I get too focused on details, but I try to delegate.
Interviewer: Which tools and technologies do you use?
Candidate: I regularly use tools like JIRA and Trello for tracking.
Interviewer: How do you approach learning a new skill?
Candidate: I I mean take hands-on courses and apply them to projects.
Interviewer: What are your key strengths?
Shaurya Bhatt: I am detail-oriented and I communicate well with stakeholders.
Interviewer: What motivates you at work?
Shaurya Bhatt: In the next 5 years, I aim to grow into a leadership role.
Interviewer: Can you walk me through a challenging problem you solved?
Shaurya Bhatt: I developed a tool using machine learning that automated a lot of manual work.
Interviewer: How do you approach learning a new skill?
Candidate: I learn by building small projects and iterating quickly.
Interviewer: Can you walk me through a challenging problem you solved?
Shaurya Bhatt: My last project involved python and cross-functional coordination.
Interviewer: What motivates you at work?
Shaurya Bhatt: In the next 5 years, I aim to grow into a leadership role.
Interviewer: How do you work with cross-functional teams?
Shaurya Bhatt: I use Git for version control and Jenkins for CI/CD.
Interviewer: That concludes our questions. Do you have anything to ask us?
Shaurya Bhatt: No, thank you. I look forward to hearing from you."
INT1013,Aarav Saxena,24,Male,Project Manager,"leadership, agile, project planning, stakeholder, risk management","Lead cross-functional projects, manage schedules and stakeholders, and ensure delivery using Agile methodologies.",2024-11-25,"Aarav Saxena: Good afternoon, thank you for taking the time.
Interviewer: Thanks for joining — let's begin.
Interviewer: Describe your role in your last project.
Aarav Saxena: I have hands-on experience with leadership and agile.
Interviewer: What is a weakness you are working on?
Aarav Saxena: I can be cautious with deadlines, and I'm working on prioritization.
Interviewer: How do you work with cross-functional teams?
Aarav Saxena: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: How do you work with cross-functional teams?
Aarav Saxena: I enjoy mentoring juniors and helping the team grow.
Interviewer: How do you handle deadlines and pressure?
Aarav Saxena: I you know graduated in Computer Science and have worked on projects involving leadership, agile.
Interviewer: How do you approach learning a new skill?
Candidate: I take hands-on courses and apply them to projects.
Interviewer: Which tools and technologies do you use?
Aarav Saxena: I use Git for version control and Jenkins for CI/CD.
Interviewer: What motivates you at work?
Aarav Saxena: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: Do you have any questions for us?
Aarav Saxena: Thank so you for your time. I'm excited about this opportunity.
Interviewer: What is a weakness you are working on?
Aarav Saxena: I I mean can be cautious with deadlines, and I'm working on prioritization.
Interviewer: That concludes our questions. Do you have anything to ask us?
Aarav Saxena: Yes, I would like to know more about the team I’d be working with."
INT1014,Myra Kulkarni,36,Female,AI/ML Engineer,"machine learning, python, deep learning, model deployment, data preprocessing","Develop and deploy machine learning models, perform data preprocessing and model evaluation, and work on production ML pipelines.",2025-03-13,"Myra Kulkarni: Good afternoon, thank you for taking the time.
Interviewer: You're welcome. Let's start with some questions.
Interviewer: Tell me about a recent technical/project you worked on.
Myra Kulkarni: I led a project where we used machine learning to deliver a solution that improved metrics.
Interviewer: How do you approach learning a new skill?
Myra Kulkarni: I learn by building small projects and iterating quickly.
Interviewer: How do you work with cross-functional teams?
Candidate: I I mean tend to overanalyze but I've improved by setting time-boxes.
Interviewer: How do you approach learning a new skill?
Myra Kulkarni: I take hands-on courses and apply them to projects.
Interviewer: What are your key strengths?
Myra Kulkarni: I enjoy problem-solving and collaborating with teams.
Interviewer: What motivates you at work?
Myra Kulkarni: I you know want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: How do you handle deadlines and pressure?
Myra Kulkarni: I am a AI/ML with experience in machine learning, python.
Interviewer: How do you work with cross-functional teams?
Myra Kulkarni: I uh enjoy problem-solving and collaborating with teams.
Interviewer: Can you walk me through a challenging problem you solved?
Myra Kulkarni: I well led a project where we used machine learning to deliver a solution that improved metrics.
Interviewer: What is a weakness you are working on?
Candidate: I can be cautious with deadlines, and I'm working on prioritization.
Interviewer: What are your key strengths?
Myra Kulkarni: My you know strengths are machine learning and python.
Interviewer: That concludes our questions. Do you have anything to ask us?
Myra Kulkarni: No, thank you. I look forward to hearing from you."
INT1015,Meera Nambiar,25,Female,Software Engineer,"python, java, problem-solving, data structures, algorithms","Design and implement scalable software solutions, write clean code, and collaborate on architecture decisions. Strong problem solving and data structures knowledge expected.",2023-11-05,"Meera Nambiar: Good morning! Thank you for this opportunity.
Interviewer: You're welcome. Let's start with some questions.
Interviewer: How do you work with cross-functional teams?
Meera Nambiar: Thank well you for your time. I'm excited about this opportunity.
Interviewer: To begin, can you tell me about yourself?
Meera Nambiar: I have around 7 years of experience focusing on python, java.
Interviewer: Which tools and technologies do you use?
Meera Nambiar: I regularly use tools like JIRA and Trello for tracking.
Interviewer: How do you work with cross-functional teams?
Candidate: I I mean tend to overanalyze but I've improved by setting time-boxes.
Interviewer: What motivates you at work?
Meera Nambiar: In the next 5 years, I aim to grow into a leadership role.
Interviewer: Can you walk me through a challenging problem you solved?
Meera Nambiar: I developed a tool using python that automated a lot of manual work.
Interviewer: What are your key strengths?
Meera Nambiar: I enjoy problem-solving and collaborating with teams.
Interviewer: Do you have any questions for us?
Meera Nambiar: I I mean look forward to hearing from you. Thank you.
Interviewer: Can you walk me through a challenging problem you solved?
Meera Nambiar: I developed a tool using python that automated a lot of manual work.
Interviewer: What is a weakness you are working on?"
INT1016,Meera Dutta,26,Male,Data Analyst,"data analysis, sql, excel, visualization, statistics","Analyze business data, build dashboards and reports, and support decision making with insights. Strong SQL and visualization experience required.",2023-02-07,"Meera Dutta: Good afternoon, thank you for taking the time.
Interviewer: You're welcome. Let's start with some questions.
Interviewer: Tell me about a recent technical/project you worked on.
Meera Dutta: I worked on projects using data analysis, sql, excel.
Interviewer: What motivates you at work?
Candidate: I so want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: How do you handle deadlines and pressure?
Meera Dutta: I graduated in Computer Science and have worked on projects involving data analysis, sql.
Interviewer: How do you work with cross-functional teams?
Meera Dutta: I use SQL and Excel for analysis and reporting.
Interviewer: What is a weakness you are working on?
Meera Dutta: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: What motivates you at work?
Candidate: In the next 5 years, I aim to grow into a leadership role.
Interviewer: Do you have any questions for us?
Candidate: I look forward to hearing from you. Thank you.
Interviewer: Can you walk me through a challenging problem you solved?
Candidate: My last project involved sql and cross-functional coordination.
Interviewer: How do you approach learning a new skill?
Meera Dutta: I I mean learn by building small projects and iterating quickly.
Interviewer: That concludes our questions. Do you have anything to ask us?
Meera Dutta: No, thank you. I look forward to hearing from you."
INT1017,Meera Reddy,30,Female,Marketing Manager,"branding, campaigns, digital marketing, analytics, team management","Lead marketing campaigns, drive brand awareness across digital platforms, and manage a small marketing team. Creativity and analytics required.",2023-03-18,"Meera Reddy: Hi, thanks for having me today.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: How do you handle deadlines and pressure?
Candidate: In the next 5 years, I aim to grow into a leadership role.
Interviewer: Do you have any questions for us?
Meera Reddy: I uh look forward to hearing from you. Thank you.
Interviewer: Can you walk me through a challenging problem you solved?
Meera Reddy: My you know last project involved campaigns and cross-functional coordination.
Interviewer: How do you handle deadlines and pressure?
Meera Reddy: I enjoy mentoring juniors and helping the team grow.
Interviewer: How do you work with cross-functional teams?
Candidate: I uh coordinate closely with cross-functional stakeholders to deliver results.
Interviewer: What is a weakness you are working on?
Meera Reddy: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: Which tools and technologies do you use?
Meera Reddy: I use Git for version control and Jenkins for CI/CD.
Interviewer: Which tools and technologies do you use?
Meera Reddy: I you know use SQL and Excel for analysis and reporting.
Interviewer: How do you approach learning a new skill?
Meera Reddy: I learn by building small projects and iterating quickly.
Interviewer: How do you handle deadlines and pressure?
Meera Reddy: I enjoy mentoring juniors and helping the team grow.
Interviewer: Which tools and technologies do you use?
Interviewer: That concludes our questions. Do you have anything to ask us?
Meera Reddy: Yes, I would like to know more about the team I’d be working with."
INT1018,Saanvi Saxena,44,Female,AI/ML Engineer,"machine learning, python, deep learning, model deployment, data preprocessing","Develop and deploy machine learning models, perform data preprocessing and model evaluation, and work on production ML pipelines.",2024-10-15,"Saanvi Saxena: Good morning! Thank you for this opportunity.
Interviewer: Thanks for joining — let's begin.
Interviewer: Tell me about a recent technical/project you worked on.
Candidate: I well led a project where we used machine learning to deliver a solution that improved metrics.
Interviewer: What motivates you at work?
Saanvi Saxena: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: What is a weakness you are working on?
Saanvi Saxena: Sometimes well I get too focused on details, but I try to delegate.
Interviewer: Describe your role in your last project.
Candidate: I developed a tool using machine learning that automated a lot of manual work.
Interviewer: How do you handle deadlines and pressure?
Saanvi Saxena: My strengths are machine learning and python.
Interviewer: What motivates you at work?
Candidate: In the next 5 years, I aim to grow into a leadership role.
Interviewer: What motivates you at work?
Saanvi Saxena: In the next 5 years, I aim to grow into a leadership role.
Interviewer: What is a weakness you are working on?
Saanvi Saxena: I ... tend to overanalyze but I've improved by setting time-boxes.
Interviewer: What are your key strengths?
Saanvi Saxena: I enjoy problem-solving and collaborating with teams.
Interviewer: What is a weakness you are working on?
Candidate: I can be cautious with deadlines, and I'm working on prioritization.
Interviewer: Can you walk me through a challenging problem you solved?
Saanvi Saxena: I ... led a project where we used machine learning to deliver a solution that improved metrics.
Interviewer: That concludes our questions. Do you have anything to ask us?
Saanvi Saxena: No, thank you. I look forward to hearing from you."
INT1019,Diya Rao,40,Male,Marketing Manager,"branding, campaigns, digital marketing, analytics, team management","Lead marketing campaigns, drive brand awareness across digital platforms, and manage a small marketing team. Creativity and analytics required.",2023-03-25,"Diya Rao: Good morning! Thank you for this opportunity.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: Which tools and technologies do you use?
Diya Rao: I regularly use tools like JIRA and Trello for tracking.
Interviewer: Can you walk me through a challenging problem you solved?
Diya Rao: My last project involved campaigns and cross-functional coordination.
Interviewer: How do you approach learning a new skill?
Candidate: I learn by building small projects and iterating quickly.
Interviewer: To begin, can you tell me about yourself?
Diya Rao: I graduated in Computer Science and have worked on projects involving branding, campaigns.
Interviewer: How do you handle deadlines and pressure?
Diya Rao: I look forward to hearing from you. Thank you.
Interviewer: How do you handle deadlines and pressure?
Candidate: I use SQL and Excel for analysis and reporting.
Interviewer: Tell me about a recent technical/project you worked on.
Candidate: I uh developed a tool using branding that automated a lot of manual work.
Interviewer: How do you work with cross-functional teams?
Diya Rao: Thank you for your time. I'm excited about this opportunity.
Interviewer: How do you handle deadlines and pressure?
Diya Rao: I you know look forward to hearing from you. Thank you.
Interviewer: What motivates you at work?
Diya Rao: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: What are your key strengths?
Diya Rao: I am detail-oriented and I communicate well with stakeholders.
Interviewer: That concludes our questions. Do you have anything to ask us?
Diya Rao: No, thank you. I look forward to hearing from you."
INT1020,Advait Joshi,23,Male,Data Analyst,"data analysis, sql, excel, visualization, statistics","Analyze business data, build dashboards and reports, and support decision making with insights. Strong SQL and visualization experience required.",2024-09-03,"Advait Joshi: Hi, thanks for having me today.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: Which tools and technologies do you use?
Advait Joshi: I regularly use tools like JIRA and Trello for tracking.
Interviewer: Which tools and technologies do you use?
Advait Joshi: I use SQL and Excel for analysis and reporting.
Interviewer: How do you work with cross-functional teams?
Advait Joshi: I ... have around 6 years of experience focusing on data analysis, sql.
Interviewer: How do you work with cross-functional teams?
Advait Joshi: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: Do you have any questions for us?
Advait Joshi: Thank you for your time. I'm excited about this opportunity.
Interviewer: How do you handle deadlines and pressure?
Advait Joshi: In ... the next 5 years, I aim to grow into a leadership role.
Interviewer: To begin, can you tell me about yourself?
Advait Joshi: I I mean am a Data with experience in data analysis, sql.
Interviewer: What motivates you at work?
Advait Joshi: In the next 5 years, I aim to grow into a leadership role.
Interviewer: How do you handle deadlines and pressure?
Advait Joshi: Thank you for your time. I'm excited about this opportunity.
Interviewer: Which tools and technologies do you use?
Advait Joshi: I use SQL and Excel for analysis and reporting.
Interviewer: How do you approach learning a new skill?"
