,interview_id,name,age,gender,role_applied,industry_skills,jd,interview_date,transcript,clean_transcript,summary
18,INT1019,Diya Rao,40,Male,Marketing Manager,"branding, campaigns, digital marketing, analytics, team management","Lead marketing campaigns, drive brand awareness across digital platforms, and manage a small marketing team. Creativity and analytics required.",2023-03-25,"Diya Rao: Good morning! Thank you for this opportunity.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: Which tools and technologies do you use?
Diya Rao: I regularly use tools like JIRA and Trello for tracking.
Interviewer: Can you walk me through a challenging problem you solved?
Diya Rao: My last project involved campaigns and cross-functional coordination.
Interviewer: How do you approach learning a new skill?
Candidate: I learn by building small projects and iterating quickly.
Interviewer: To begin, can you tell me about yourself?
Diya Rao: I graduated in Computer Science and have worked on projects involving branding, campaigns.
Interviewer: How do you handle deadlines and pressure?
Diya Rao: I look forward to hearing from you. Thank you.
Interviewer: How do you handle deadlines and pressure?
Candidate: I use SQL and Excel for analysis and reporting.
Interviewer: Tell me about a recent technical/project you worked on.
Candidate: I uh developed a tool using branding that automated a lot of manual work.
Interviewer: How do you work with cross-functional teams?
Diya Rao: Thank you for your time. I'm excited about this opportunity.
Interviewer: How do you handle deadlines and pressure?
Diya Rao: I you know look forward to hearing from you. Thank you.
Interviewer: What motivates you at work?
Diya Rao: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: What are your key strengths?
Diya Rao: I am detail-oriented and I communicate well with stakeholders.
Interviewer: That concludes our questions. Do you have anything to ask us?
Diya Rao: No, thank you. I look forward to hearing from you.","Great to meet you. We'll go through some questions. and technologies do you use I regularly use tools like JIRA and Trello for tracking. My last project involved campaigns and cross-functional coordination. I learn by building small projects and iterating quickly. I graduated in Computer Science and have worked on projects involving branding, campaigns. I look forward to hearing from you. I use SQL and Excel for analysis and reporting. about a recent technical/project you worked on. I uh developed a tool using branding that automated a lot of manual work. for your time. I'm excited about this opportunity. I look forward to hearing from you. I want to deepen my expertise and lead a team of engineers/marketers. I am detail-oriented and I communicate well with stakeholders. That concludes our questions. No,","An HR Recruiter is looking for a candidate with good technical skills and soft skills. The candidate graduated in Computer Science and has worked on projects involving branding, campaigns and cross-functional coordination. He wants to deepen his expertise and lead a team of engineers/marketers. He is detail-oriented and he communicates well with stakeholders. He uses JIRA and Trello for tracking."
19,INT1020,Advait Joshi,23,Male,Data Analyst,"data analysis, sql, excel, visualization, statistics","Analyze business data, build dashboards and reports, and support decision making with insights. Strong SQL and visualization experience required.",2024-09-03,"Advait Joshi: Hi, thanks for having me today.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: Which tools and technologies do you use?
Advait Joshi: I regularly use tools like JIRA and Trello for tracking.
Interviewer: Which tools and technologies do you use?
Advait Joshi: I use SQL and Excel for analysis and reporting.
Interviewer: How do you work with cross-functional teams?
Advait Joshi: I ... have around 6 years of experience focusing on data analysis, sql.
Interviewer: How do you work with cross-functional teams?
Advait Joshi: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: Do you have any questions for us?
Advait Joshi: Thank you for your time. I'm excited about this opportunity.
Interviewer: How do you handle deadlines and pressure?
Advait Joshi: In ... the next 5 years, I aim to grow into a leadership role.
Interviewer: To begin, can you tell me about yourself?
Advait Joshi: I I mean am a Data with experience in data analysis, sql.
Interviewer: What motivates you at work?
Advait Joshi: In the next 5 years, I aim to grow into a leadership role.
Interviewer: How do you handle deadlines and pressure?
Advait Joshi: Thank you for your time. I'm excited about this opportunity.
Interviewer: Which tools and technologies do you use?
Advait Joshi: I use SQL and Excel for analysis and reporting.
Interviewer: How do you approach learning a new skill?","Hi, for having me today. Great to meet you. We'll go through some questions. and technologies do you use I regularly use tools like JIRA and Trello for tracking. and technologies do you use I use SQL and Excel for analysis and reporting. I. have around 6 years of experience focusing on data analysis, sql. I want to deepen my expertise and lead a team of engineers/marketers. for your time. I'm excited about this opportunity. In. the next 5 years, I aim to grow into a leadership role. I I mean am a Data with experience in data analysis, sql. In the next 5 years, I aim to grow into a leadership role","In the interview transcript, focus on key technical skills, soft skills, project experience, achievements and career goals. Don't include questions, fillers, stutters, or repeated lines. Write in 4-5 clean recruiter-style sentences. The candidate has around 6 years of experience focusing on data analysis, and wants to grow into a leadership role in the next 5 years."
20,INT1021,Ritika Chopra,44,Female,Data Analyst,"data analysis, sql, excel, visualization, statistics","Analyze business data, build dashboards and reports, and support decision making with insights. Strong SQL and visualization experience required.",2025-04-15,"Ritika Chopra: Good morning! Thank you for this opportunity.
Interviewer: Thanks for joining — let's begin.
Interviewer: Can you walk me through a challenging problem you solved?
Ritika Chopra: My last project involved sql and cross-functional coordination.
Interviewer: Describe your role in your last project.
Ritika Chopra: I worked on projects using data analysis, sql, excel.
Interviewer: Do you have any questions for us?
Ritika Chopra: Thank you for your time. I'm excited about this opportunity.
Interviewer: What is a weakness you are working on?
Ritika Chopra: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: How do you work with cross-functional teams?
Candidate: Sometimes so I get too focused on details, but I try to delegate.
Interviewer: To begin, can you tell me about yourself?
Ritika Chopra: I graduated in Computer Science and have worked on projects involving data analysis, sql.
Interviewer: Tell me about a recent technical/project you worked on.
Ritika Chopra: I developed a tool using data analysis that automated a lot of manual work.
Interviewer: To begin, can you tell me about yourself?
Ritika Chopra: I am a Data with experience in data analysis, sql.
Interviewer: Can you walk me through a challenging problem you solved?
Ritika Chopra: I developed a tool using data analysis that automated a lot of manual work.
Interviewer: What motivates you at work?
Ritika Chopra: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: That concludes our questions. Do you have anything to ask us?
Ritika Chopra: No, thank you. I look forward to hearing from you.","— My last project involved sql and cross-functional coordination. role in your last project. I worked on projects using data analysis, sql, excel. for your time. I'm excited about this opportunity. I tend to overanalyze but I've improved by setting time-boxes. Sometimes so I get too focused on details, but I try to delegate. I graduated in Computer Science and have worked on projects involving data analysis, sql. about a recent technical/project you worked on. I developed a tool using data analysis that automated a lot of manual work. I am a Data with experience in data analysis, sql. I want to deepen my expertise and lead a team of engineers/marketers. That concludes our questions. No,. I look forward to hearing from you","Focus on key technical skills, soft skills, project experience, career goals and motivation. Summarize the candidate’s profile from the following interview transcript. Do not include questions, fillers, stutters, 'you know', 'uh', or repeated lines. Write in 4-5 clean recruiter-style sentences. The candidate graduated in Computer Science and has worked on projects involving data analysis."
21,INT1022,Anaya Malhotra,41,Female,Software Engineer,"python, java, problem-solving, data structures, algorithms","Design and implement scalable software solutions, write clean code, and collaborate on architecture decisions. Strong problem solving and data structures knowledge expected.",2023-10-13,"Anaya Malhotra: Hi, thanks for having me today.
Interviewer: Thanks for joining — let's begin.
Interviewer: Which tools and technologies do you use?
Anaya Malhotra: I so use Git for version control and Jenkins for CI/CD.
Interviewer: How do you approach learning a new skill?
Anaya Malhotra: I learn by building small projects and iterating quickly.
Interviewer: What motivates you at work?
Anaya Malhotra: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: What is a weakness you are working on?
Anaya Malhotra: Sometimes I get too focused on details, but I try to delegate.
Interviewer: How do you handle deadlines and pressure?
Anaya Malhotra: I learn by building small projects and iterating quickly.
Interviewer: What motivates you at work?
Anaya Malhotra: I ... want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: Tell me about a recent technical/project you worked on.
Candidate: My you know last project involved java and cross-functional coordination.
Interviewer: How do you work with cross-functional teams?
Candidate: I you know coordinate closely with cross-functional stakeholders to deliver results.
Interviewer: What motivates you at work?
Anaya Malhotra: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: How do you approach learning a new skill?
Interviewer: That concludes our questions. Do you have anything to ask us?
Anaya Malhotra: No, thank you. I look forward to hearing from you.","Hi, for having me today. — and technologies do you use I so use Git for version control and Jenkins for CI/CD. I learn by building small projects and iterating quickly. I want to deepen my expertise and lead a team of engineers/marketers. Sometimes I get too focused on details, but I try to delegate. I. want to deepen my expertise and lead a team of engineers/marketers. about a recent technical/project you worked on. My last project involved java and cross-functional coordination. I coordinate closely with cross-functional stakeholders to deliver results. That concludes our questions. No,. I look forward to hearing from you","Focus on key technical skills (e.g., Python, SQL, HR, Marketing, Project Management) and soft skills such as communication, leadership, teamwork. Summarize the candidate’s profile from the following interview transcript. Write in 4-5 clean recruiter-style sentences. I want to deepen my expertise and lead a team of engineers/marketers about a recent technical/project you worked on. I use Git for version control and Jenkins for CI/CD."
22,INT1023,Riya Singh,42,Male,HR Executive,"employee engagement, communication, recruitment, policy, onboarding","Manage recruitment, employee engagement initiatives, and HR policy implementation. Excellent communication and organizational skills required.",2023-11-25,"Riya Singh: Good afternoon, thank you for taking the time.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: What are your key strengths?
Riya Singh: I so am detail-oriented and I communicate well with stakeholders.
Interviewer: To begin, can you tell me about yourself?
Candidate: I graduated in Computer Science and have worked on projects involving employee engagement, communication.
Interviewer: To begin, can you tell me about yourself?
Riya Singh: I so graduated in Computer Science and have worked on projects involving employee engagement, communication.
Interviewer: Which tools and technologies do you use?
Riya Singh: I regularly use tools like JIRA and Trello for tracking.
Interviewer: How do you handle deadlines and pressure?
Riya Singh: My last project involved communication and cross-functional coordination.
Interviewer: What is a weakness you are working on?
Riya Singh: I can be cautious with deadlines, and I'm working on prioritization.
Interviewer: How do you handle deadlines and pressure?
Riya Singh: I can be cautious with deadlines, and I'm working on prioritization.
Interviewer: To begin, can you tell me about yourself?
Riya Singh: I graduated in Computer Science and have worked on projects involving employee engagement, communication.
Interviewer: Tell me about a recent technical/project you worked on.
Riya Singh: I developed a tool using employee engagement that automated a lot of manual work.
Interviewer: That concludes our questions. Do you have anything to ask us?
Riya Singh: Yes, I would like to know more about the team I’d be working with.",", for taking the time. Great to meet you. We'll go through some questions. I so am detail-oriented and I communicate well with stakeholders. I graduated in Computer Science and have worked on projects involving employee engagement, communication. I so graduated in Computer Science and have worked on projects involving employee engagement, communication. and technologies do you use I regularly use tools like JIRA and Trello for tracking. My last project involved communication and cross-functional coordination. I can be cautious with deadlines, and I'm working on prioritization. about a recent technical/project you worked on. I developed a tool using employee engagement that automated a lot of manual work. That concludes our questions. Yes, I would like to know more about the team I’d be working with","Interviewer wants to know more about the candidate's technical skills, soft skills, project experience, career goals and motivation. The candidate graduated in Computer Science and has worked on projects involving employee engagement, communication, and technologies. She uses tools like JIRA and Trello for tracking and can be cautious with deadlines. She developed a tool using employee engagement that automated a lot of manual work."
23,INT1024,Riya Rao,34,Female,Software Engineer,"python, java, problem-solving, data structures, algorithms","Design and implement scalable software solutions, write clean code, and collaborate on architecture decisions. Strong problem solving and data structures knowledge expected.",2023-05-24,"Riya Rao: Good afternoon, thank you for taking the time.
Interviewer: Thanks for joining — let's begin.
Interviewer: To begin, can you tell me about yourself?
Riya Rao: I I mean graduated in Computer Science and have worked on projects involving python, java.
Interviewer: Which tools and technologies do you use?
Riya Rao: I use Git for version control and Jenkins for CI/CD.
Interviewer: How do you handle deadlines and pressure?
Candidate: For I mean technical tasks I usually rely on python and complement it with java.
Interviewer: Can you walk me through a challenging problem you solved?
Riya Rao: I worked on projects using python, java, problem-solving.
Interviewer: Which tools and technologies do you use?
Riya Rao: I you know use Git for version control and Jenkins for CI/CD.
Interviewer: How do you approach learning a new skill?
Riya Rao: I learn by building small projects and iterating quickly.
Interviewer: How do you approach learning a new skill?
Riya Rao: I take hands-on courses and apply them to projects.
Interviewer: Do you have any questions for us?
Riya Rao: I look forward to hearing from you. Thank you.
Interviewer: Do you have any questions for us?
Riya Rao: Thank you for your time. I'm excited about this opportunity.
Interviewer: Tell me about a recent technical/project you worked on.",", for taking the time. — I I mean graduated in Computer Science and have worked on projects involving python, java. and technologies do you use I use Git for version control and Jenkins for CI/CD. For I mean technical tasks I usually rely on python and complement it with java. I worked on projects using python, java, problem-solving. and technologies do you use I use Git for version control and Jenkins for CI/CD. I learn by building small projects and iterating quickly. I take hands-on courses and apply them to projects. I look forward to hearing from you. for your time. I'm excited about this opportunity. about a recent technical/project you worked on","Interviewer is looking for an HR Recruiter. The candidate should focus on key technical skills, soft skills, project experience, career goals and motivation. They should write in 4-5 clean recruiter-style sentences. Transcript is based on the candidate’s profile from the following interview transcript. For technical tasks, usually rely on python and complement it with java and use Git for version control and Jenkins for CI/CD."
24,INT1025,Pooja Verma,40,Female,Software Engineer,"python, java, problem-solving, data structures, algorithms","Design and implement scalable software solutions, write clean code, and collaborate on architecture decisions. Strong problem solving and data structures knowledge expected.",2023-12-02,"Pooja Verma: Hi, thanks for having me today.
Interviewer: Thanks for joining — let's begin.
Interviewer: Can you walk me through a challenging problem you solved?
Pooja Verma: I ... developed a tool using python that automated a lot of manual work.
Interviewer: To begin, can you tell me about yourself?
Pooja Verma: I am a Software with experience in python, java.
Interviewer: To begin, can you tell me about yourself?
Pooja Verma: I graduated in Computer Science and have worked on projects involving python, java.
Interviewer: To begin, can you tell me about yourself?
Pooja Verma: I graduated in Computer Science and have worked on projects involving python, java.
Interviewer: Do you have any questions for us?
Pooja Verma: Thank you for your time. I'm excited about this opportunity.
Interviewer: What motivates you at work?
Pooja Verma: In the next 5 years, I aim to grow into a leadership role.
Interviewer: Which tools and technologies do you use?
Pooja Verma: I regularly use tools like JIRA and Trello for tracking.
Interviewer: Describe your role in your last project.
Pooja Verma: I worked on projects using python, java, problem-solving.
Interviewer: How do you work with cross-functional teams?
Pooja Verma: I use Git for version control and Jenkins for CI/CD.
Interviewer: That concludes our questions. Do you have anything to ask us?
Pooja Verma: Yes, I would like to know more about the team I’d be working with.","Hi, for having me today. — I. developed a tool using python that automated a lot of manual work. I am a Software with experience in python, java. I graduated in Computer Science and have worked on projects involving python, java. for your time. I'm excited about this opportunity. In the next 5 years, I aim to grow into a leadership role. and technologies do you use I regularly use tools like JIRA and Trello for tracking. role in your last project. I worked on projects using python, java, problem-solving. I use Git for version control and Jenkins for CI/CD. That concludes our questions. Yes, I would like to know more about the team I’d be working with","In the interview transcript, focus on key technical skills and soft skills. Summarize the candidate’s profile from the following transcript. Write in 4-5 clean recruiter-style sentences. I developed a tool using python that automated a lot of manual work. I graduated in Computer Science and have worked on projects involving python and java. I would like to know more about the team I would be working with."
25,INT1026,Saanvi Bhatt,42,Female,Marketing Manager,"branding, campaigns, digital marketing, analytics, team management","Lead marketing campaigns, drive brand awareness across digital platforms, and manage a small marketing team. Creativity and analytics required.",2023-07-02,"Saanvi Bhatt: Hi, thanks for having me today.
Interviewer: Thanks for joining — let's begin.
Interviewer: What is a weakness you are working on?
Saanvi Bhatt: Sometimes I get too focused on details, but I try to delegate.
Interviewer: Which tools and technologies do you use?
Saanvi Bhatt: I use Git for version control and Jenkins for CI/CD.
Interviewer: How do you work with cross-functional teams?
Saanvi Bhatt: I worked on projects using branding, campaigns, digital marketing.
Interviewer: Describe your role in your last project.
Saanvi Bhatt: For technical tasks I usually rely on branding and complement it with campaigns.
Interviewer: To begin, can you tell me about yourself?
Candidate: I ... am a Marketing with experience in branding, campaigns.
Interviewer: Do you have any questions for us?
Saanvi Bhatt: Thank uh you for your time. I'm excited about this opportunity.
Interviewer: Tell me about a recent technical/project you worked on.
Saanvi Bhatt: I have hands-on experience with branding and campaigns.
Interviewer: Describe your role in your last project.
Saanvi Bhatt: For technical tasks I usually rely on branding and complement it with campaigns.
Interviewer: Tell me about a recent technical/project you worked on.
Saanvi Bhatt: My last project involved campaigns and cross-functional coordination.
Interviewer: Which tools and technologies do you use?
Saanvi Bhatt: I use Git for version control and Jenkins for CI/CD.
Interviewer: What is a weakness you are working on?
Saanvi Bhatt: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: That concludes our questions. Do you have anything to ask us?
Saanvi Bhatt: No, thank you. I look forward to hearing from you.","Hi, for having me today. — Sometimes I get too focused on details, but I try to delegate. and technologies do you use I use Git for version control and Jenkins for CI/CD. I worked on projects using branding, campaigns, digital marketing. role in your last project. For technical tasks I usually rely on branding and complement it with campaigns. I. am a Marketing with experience in branding, campaigns. Thank uh you for your time. I'm excited about this opportunity. about a recent technical/project you worked on. I have hands-on experience with branding and campaigns. My last project involved campaigns and cross-functional coordination. I tend to overanalyze but I've improved by setting time-boxes. That concludes our questions. No,. I look forward to hearing from you","In the interview transcript, focus on the candidate's technical skills, soft skills, project experience and career goals. Don't include questions, fillers, stutters, 'you know', 'uh', or repeated lines. Write in 4-5 clean recruiter-style sentences. The candidate uses Git for version control and Jenkins for CI/CD. She is a Marketing with experience in branding and campaigns."
26,INT1027,Anaya Kapoor,42,Female,Project Manager,"leadership, agile, project planning, stakeholder, risk management","Lead cross-functional projects, manage schedules and stakeholders, and ensure delivery using Agile methodologies.",2023-11-23,"Anaya Kapoor: Hi, thanks for having me today.
Interviewer: Thanks for joining — let's begin.
Interviewer: What is a weakness you are working on?
Anaya Kapoor: I ... can be cautious with deadlines, and I'm working on prioritization.
Interviewer: Tell me about a recent technical/project you worked on.
Anaya Kapoor: I led a project where we used leadership to deliver a solution that improved metrics.
Interviewer: What motivates you at work?
Candidate: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: Tell me about a recent technical/project you worked on.
Anaya Kapoor: My well last project involved agile and cross-functional coordination.
Interviewer: What are your key strengths?
Candidate: I am detail-oriented and I communicate well with stakeholders.
Interviewer: How do you work with cross-functional teams?
Candidate: Thank you for your time. I'm excited about this opportunity.
Interviewer: Do you have any questions for us?
Anaya Kapoor: Thank you for your time. I'm excited about this opportunity.
Interviewer: How do you handle deadlines and pressure?
Anaya Kapoor: I led a project where we used leadership to deliver a solution that improved metrics.
Interviewer: What are your key strengths?
Anaya Kapoor: My strengths are leadership and agile.
Interviewer: Describe your role in your last project.
Anaya Kapoor: My last project involved agile and cross-functional coordination.
Interviewer: How do you approach learning a new skill?
Interviewer: That concludes our questions. Do you have anything to ask us?
Anaya Kapoor: No, thank you. I look forward to hearing from you.","Hi, for having me today. — I. can be cautious with deadlines, and I'm working on prioritization. about a recent technical/project you worked on. I led a project where we used leadership to deliver a solution that improved metrics. I want to deepen my expertise and lead a team of engineers/marketers. My well last project involved agile and cross-functional coordination. I am detail-oriented and I communicate well with stakeholders. for your time. I'm excited about this opportunity. My strengths are leadership and agile. role in your last project. My last project involved agile and cross-functional coordination. That concludes our questions. No,. I look forward to hearing from you",Focus on key technical skills and soft skills. Summarize the candidate’s profile from the following interview transcript. Write in 4-5 clean recruiter-style sentences. I want to deepen my expertise and lead a team of engineers/marketers. I am detail-oriented and I communicate well with stakeholders. My strengths are leadership and agile role in your last project.
27,INT1028,Kavya Khan,31,Male,Project Manager,"leadership, agile, project planning, stakeholder, risk management","Lead cross-functional projects, manage schedules and stakeholders, and ensure delivery using Agile methodologies.",2025-06-22,"Kavya Khan: Good afternoon, thank you for taking the time.
Interviewer: Thanks for joining — let's begin.
Interviewer: Describe your role in your last project.
Kavya Khan: I led a project where we used leadership to deliver a solution that improved metrics.
Interviewer: Do you have any questions for us?
Kavya Khan: Thank ... you for your time. I'm excited about this opportunity.
Interviewer: Do you have any questions for us?
Candidate: I look forward to hearing from you. Thank you.
Interviewer: Tell me about a recent technical/project you worked on.
Kavya Khan: I developed a tool using leadership that automated a lot of manual work.
Interviewer: How do you handle deadlines and pressure?
Kavya Khan: My last project involved agile and cross-functional coordination.
Interviewer: What is a weakness you are working on?
Kavya Khan: I so can be cautious with deadlines, and I'm working on prioritization.
Interviewer: What is a weakness you are working on?
Kavya Khan: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: What are your key strengths?
Kavya Khan: I enjoy problem-solving and collaborating with teams.
Interviewer: Can you walk me through a challenging problem you solved?
Kavya Khan: I ... led a project where we used leadership to deliver a solution that improved metrics.
Interviewer: That concludes our questions. Do you have anything to ask us?
Kavya Khan: Yes, I would like to know more about the team I’d be working with.",", for taking the time. — role in your last project. I led a project where we used leadership to deliver a solution that improved metrics. Thank. you for your time. I'm excited about this opportunity. I look forward to hearing from you. about a recent technical/project you worked on. I developed a tool using leadership that automated a lot of manual work. My last project involved agile and cross-functional coordination. I so can be cautious with deadlines, and I'm working on prioritization. I tend to overanalyze but I've improved by setting time-boxes. I enjoy problem-solving and collaborating with teams. I. led a project where we used leadership to deliver a solution that improved metrics. That concludes our questions. Yes, I would like to know more about the team I’d be working with","In the interview transcript, focus on the candidate's technical skills, soft skills, project experience, career goals and motivation. Don't include questions, fillers, stutters, or repeated lines. Write in 4-5 clean recruiter-style sentences about the role you played in your last project and the team you would be working with. You developed a tool using leadership that automated a lot of manual work."
28,INT1029,Meera Pandey,41,Female,Project Manager,"leadership, agile, project planning, stakeholder, risk management","Lead cross-functional projects, manage schedules and stakeholders, and ensure delivery using Agile methodologies.",2025-07-23,"Meera Pandey: Good afternoon, thank you for taking the time.
Interviewer: Great to meet you. We'll go through some questions.
Interviewer: To begin, can you tell me about yourself?
Candidate: I have around 2 years of experience focusing on leadership, agile.
Interviewer: What motivates you at work?
Meera Pandey: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: What motivates you at work?
Meera Pandey: I want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: What are your key strengths?
Meera Pandey: I you know am detail-oriented and I communicate well with stakeholders.
Interviewer: Which tools and technologies do you use?
Candidate: I use SQL and Excel for analysis and reporting.
Interviewer: How do you work with cross-functional teams?
Meera Pandey: I take hands-on courses and apply them to projects.
Interviewer: Can you walk me through a challenging problem you solved?
Meera Pandey: For technical tasks I usually rely on leadership and complement it with agile.
Interviewer: To begin, can you tell me about yourself?
Meera Pandey: I graduated in Computer Science and have worked on projects involving leadership, agile.
Interviewer: To begin, can you tell me about yourself?
Candidate: I am a Project with experience in leadership, agile.
Interviewer: How do you work with cross-functional teams?
Meera Pandey: I enjoy mentoring juniors and helping the team grow.
Interviewer: Tell me about a recent technical/project you worked on.
Interviewer: That concludes our questions. Do you have anything to ask us?
Meera Pandey: Yes, I would like to know more about the team I’d be working with.",", for taking the time. Great to meet you. We'll go through some questions. I have around 2 years of experience focusing on leadership, agile. I want to deepen my expertise and lead a team of engineers/marketers. I am detail-oriented and I communicate well with stakeholders. and technologies do you use I use SQL and Excel for analysis and reporting. I take hands-on courses and apply them to projects. For technical tasks I usually rely on leadership and complement it with agile. I graduated in Computer Science and have worked on projects involving leadership, agile. I am a Project with experience in leadership, agile. I enjoy mentoring juniors and helping the team grow. about a recent technical/project you worked on. That concludes our questions. Yes, I would like to know more about the team I’d be working with","The candidate has around 2 years of experience focusing on leadership and agile and wants to lead a team of engineers/marketers. He graduated in Computer Science and has worked on projects involving leadership, agile. more about the team he’d be working with and about the recent technical/project he's worked on. He uses SQL and Excel for analysis and reporting."
29,INT1030,Lavanya Gupta,44,Female,Data Analyst,"data analysis, sql, excel, visualization, statistics","Analyze business data, build dashboards and reports, and support decision making with insights. Strong SQL and visualization experience required.",2023-10-05,"Lavanya Gupta: Good morning! Thank you for this opportunity.
Interviewer: You're welcome. Let's start with some questions.
Interviewer: What motivates you at work?
Candidate: In I mean the next 5 years, I aim to grow into a leadership role.
Interviewer: Tell me about a recent technical/project you worked on.
Lavanya Gupta: I worked on projects using data analysis, sql, excel.
Interviewer: Do you have any questions for us?
Lavanya Gupta: I look forward to hearing from you. Thank you.
Interviewer: How do you work with cross-functional teams?
Lavanya Gupta: I so tend to overanalyze but I've improved by setting time-boxes.
Interviewer: To begin, can you tell me about yourself?
Lavanya Gupta: I uh graduated in Computer Science and have worked on projects involving data analysis, sql.
Interviewer: Do you have any questions for us?
Lavanya Gupta: I look forward to hearing from you. Thank you.
Interviewer: Can you walk me through a challenging problem you solved?
Lavanya Gupta: I ... developed a tool using data analysis that automated a lot of manual work.
Interviewer: How do you work with cross-functional teams?
Candidate: I tend to overanalyze but I've improved by setting time-boxes.
Interviewer: Do you have any questions for us?
Candidate: Thank you for your time. I'm excited about this opportunity.
Interviewer: What is a weakness you are working on?
Candidate: I tend to overanalyze but I've improved by setting time-boxes.","In I mean the next 5 years, I aim to grow into a leadership role. about a recent technical/project you worked on. I worked on projects using data analysis, sql, excel. I look forward to hearing from you. I so tend to overanalyze but I've improved by setting time-boxes. I uh graduated in Computer Science and have worked on projects involving data analysis, sql. I. developed a tool using data analysis that automated a lot of manual work. I tend to overanalyze but I've improved by setting time-boxes. for your time. I'm excited about this opportunity","In the next 5 years, I aim to grow into a leadership role as an HR Recruiter. I graduated in Computer Science and have worked on projects involving data analysis. I developed a tool using data analysis that automated a lot of manual work. I tend to overanalyze but I've improved by setting time-boxes. I look forward to hearing from you."
30,INT1031,Pooja Kapoor,34,Male,Marketing Manager,"branding, campaigns, digital marketing, analytics, team management","Lead marketing campaigns, drive brand awareness across digital platforms, and manage a small marketing team. Creativity and analytics required.",2023-04-04,"Pooja Kapoor: Good morning! Thank you for this opportunity.
Interviewer: Thanks for joining — let's begin.
Interviewer: How do you handle deadlines and pressure?
Pooja Kapoor: I well led a project where we used branding to deliver a solution that improved metrics.
Interviewer: What motivates you at work?
Pooja Kapoor: I uh want to deepen my expertise and lead a team of engineers/marketers.
Interviewer: What are your key strengths?
Pooja Kapoor: I am detail-oriented and I communicate well with stakeholders.
Interviewer: To begin, can you tell me about yourself?
Candidate: I graduated in Computer Science and have worked on projects involving branding, campaigns.
Interviewer: What motivates you at work?
Candidate: In the next 5 years, I aim to grow into a leadership role.
Interviewer: Which tools and technologies do you use?
Candidate: I use SQL and Excel for analysis and reporting.
Interviewer: How do you work with cross-functional teams?
Candidate: I developed a tool using branding that automated a lot of manual work.
Interviewer: Which tools and technologies do you use?
Pooja Kapoor: I use Git for version control and Jenkins for CI/CD.
Interviewer: Tell me about a recent technical/project you worked on.
Pooja Kapoor: I well developed a tool using branding that automated a lot of manual work.
Interviewer: Do you have any questions for us?
Pooja Kapoor: I look forward to hearing from you. Thank you.
Interviewer: Can you walk me through a challenging problem you solved?","— I well led a project where we used branding to deliver a solution that improved metrics. I uh want to deepen my expertise and lead a team of engineers/marketers. I am detail-oriented and I communicate well with stakeholders. I graduated in Computer Science and have worked on projects involving branding, campaigns. In the next 5 years, I aim to grow into a leadership role. and technologies do you use I use SQL and Excel for analysis and reporting. I developed a tool using branding that automated a lot of manual work. and technologies do you use I use Git for version control and Jenkins for CI/CD. about a recent technical/project you worked on. I well developed a tool using branding that automated a lot of manual work. I look forward to hearing from you","In the interview transcript, focus on the candidate's technical skills, soft skills, project experience and career goals. Don't include questions, fillers, stutters, or repeated lines. Write in 4-5 clean recruiter-style sentences. The candidate graduated in Computer Science and wants to grow into a leadership role in the next 5 years. He developed a tool using branding that automated a lot of manual work."
